mode,energy
7827,4.14495657839801e-12
7833,2.8190140993292125e-13
7839,2.0335877562308483e-13
7821,1.4918937713616408e-13
7814,1.3620247579075753e-13
7823,1.257376158401297e-13
7852,6.335138542363036e-14
7829,4.795128495077343e-14
7802,4.030092764580829e-14
7817,1.5050846388171512e-14
7864,1.0613161679878109e-14
7789,1.0099733336252767e-14
7776,7.880531168686472e-15
7877,7.678243580462461e-15
7891,6.387239381396976e-15
7762,6.245057417025126e-15
7835,5.051294431540504e-15
7841,3.655592334019784e-15
7805,3.4938945928653854e-15
7746,3.3975544108852295e-15
